property_type,state,region,city,neighborhood,price_source,base_price_m2,area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km
house,MA,Nordeste,São Luís,Zona Leste,FipeZAP,8627.0,179,3,2,0,1,6.9,638.01,35,9.52
apartment,MS,Centro-Oeste,Campo Grande,Zona Norte,FipeZAP,6839.0,201,3,3,33,2,7.3,2338.52,37,16.93
apartment,MA,Nordeste,São Luís,Zona Norte,FipeZAP,8627.0,164,4,4,2,1,6.8,1614.42,3,14.65
apartment,PI,Nordeste,Teresina,Zona Sul,FipeZAP,5857.0,180,4,4,6,2,9.0,2374.77,18,8.08
apartment,SP,Sudeste,São Paulo,Região Residencial,FipeZAP,12019.0,36,1,1,19,1,8.8,510.11,21,9.03
apartment,MS,Centro-Oeste,Campo Grande,Zona Sul,FipeZAP,6839.0,74,1,1,14,0,9.0,854.09,31,3.5
house,DF,Centro-Oeste,Brasília,Zona Sul,FipeZAP,10090.0,130,3,4,0,2,9.4,696.96,35,5.98
house,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,258,4,4,0,1,8.4,1027.3,33,14.42
apartment,AM,Norte,Manaus,Região Residencial,FipeZAP,7513.0,38,1,1,15,0,8.2,336.23,1,8.56
apartment,AM,Norte,Manaus,Zona Leste,FipeZAP,7513.0,45,2,1,23,2,6.6,713.06,30,7.21
apartment,RN,Nordeste,Natal,Região Comercial,FipeZAP,6334.0,61,3,4,17,2,8.0,659.97,9,2.53
apartment,MG,Sudeste,Belo Horizonte,Zona Norte,FipeZAP,10663.0,160,4,4,25,1,6.6,1621.62,2,13.81
apartment,TO,Norte,Palmas,Área Nobre,estimated_regional_proxy,5900.0,34,2,2,9,1,9.4,532.73,9,6.04
apartment,RN,Nordeste,Natal,Centro,FipeZAP,6334.0,81,3,2,8,0,9.1,884.61,3,3.74
house,RJ,Sudeste,Rio de Janeiro,Região Comercial,FipeZAP,10939.0,225,4,4,0,2,7.0,664.84,23,7.29
house,DF,Centro-Oeste,Brasília,Área Nobre,FipeZAP,10090.0,80,2,3,0,3,9.4,362.23,11,6.55
apartment,MT,Centro-Oeste,Cuiabá,Área Nobre,FipeZAP,6931.0,195,3,4,30,1,9.8,1551.05,12,3.22
house,MS,Centro-Oeste,Campo Grande,Região Residencial,FipeZAP,6839.0,145,3,3,0,0,8.2,646.04,28,7.11
apartment,CE,Nordeste,Fortaleza,Área Nobre,FipeZAP,9350.0,165,4,3,11,1,9.1,1805.72,36,6.3
apartment,SC,Sul,Florianópolis,Zona Leste,FipeZAP,13208.0,216,4,5,0,0,5.3,1192.34,5,12.1
apartment,RJ,Sudeste,Rio de Janeiro,Zona Sul,FipeZAP,10939.0,59,2,1,4,0,7.6,876.74,35,10.86
apartment,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,160,4,5,35,2,8.9,1817.13,11,4.59
apartment,MG,Sudeste,Belo Horizonte,Área Universitária,FipeZAP,10663.0,79,3,4,33,1,7.0,669.15,26,12.28
apartment,PB,Nordeste,João Pessoa,Centro,FipeZAP,8081.0,178,3,2,30,0,8.9,1733.52,33,0.55
apartment,CE,Nordeste,Fortaleza,Área Universitária,FipeZAP,9350.0,132,4,5,30,1,8.9,1895.94,7,5.02
apartment,SP,Sudeste,São Paulo,Região Comercial,FipeZAP,12019.0,95,4,4,28,0,7.3,1210.42,18,8.62
house,TO,Norte,Palmas,Região Residencial,estimated_regional_proxy,5900.0,131,2,1,0,2,6.0,369.92,5,3.52
apartment,PI,Nordeste,Teresina,Zona Leste,FipeZAP,5857.0,65,2,3,19,3,7.7,859.96,5,7.65
house,RJ,Sudeste,Rio de Janeiro,Área Universitária,FipeZAP,10939.0,174,4,3,0,1,7.6,747.88,20,13.23
apartment,BA,Nordeste,Salvador,Área Nobre,FipeZAP,8385.0,133,3,2,16,3,9.9,2146.26,6,5.04
apartment,AL,Nordeste,Maceió,Região Comercial,FipeZAP,9908.0,196,3,4,33,1,7.1,2045.64,34,8.5
apartment,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,206,3,3,3,0,8.7,1464.09,7,9.31
apartment,RO,Norte,Porto Velho,Zona Sul,estimated_regional_proxy,5600.0,84,3,2,16,0,7.5,1297.98,18,9.49
apartment,RN,Nordeste,Natal,Área Nobre,FipeZAP,6334.0,99,4,4,18,2,9.9,1878.75,37,1.17
house,DF,Centro-Oeste,Brasília,Zona Oeste,FipeZAP,10090.0,280,3,3,0,1,8.3,541.96,12,17.63
house,AL,Nordeste,Maceió,Região Comercial,FipeZAP,9908.0,216,3,3,0,1,6.7,683.05,17,8.91
house,MG,Sudeste,Belo Horizonte,Centro,FipeZAP,10663.0,264,4,4,0,1,7.4,1336.03,35,2.45
apartment,RO,Norte,Porto Velho,Zona Leste,estimated_regional_proxy,5600.0,191,4,3,28,2,6.4,1724.2,1,5.7
apartment,SE,Nordeste,Aracaju,Zona Oeste,FipeZAP,5529.0,168,4,3,27,0,8.2,2173.49,16,19.16
apartment,PR,Sul,Curitiba,Região Periférica,FipeZAP,11694.0,123,3,4,15,2,6.0,1078.4,3,16.71
house,RJ,Sudeste,Rio de Janeiro,Região Periférica,FipeZAP,10939.0,92,4,5,0,1,6.0,260.29,37,14.51
apartment,AC,Norte,Rio Branco,Área Universitária,estimated_regional_proxy,5200.0,195,4,4,16,2,8.2,2187.64,7,4.1
apartment,ES,Sudeste,Vitória,Zona Sul,FipeZAP,14818.0,80,1,1,28,0,8.4,853.69,29,2.27
apartment,PI,Nordeste,Teresina,Região Comercial,FipeZAP,5857.0,133,3,2,23,0,8.9,1038.06,27,2.09
apartment,BA,Nordeste,Salvador,Área Universitária,FipeZAP,8385.0,219,3,4,27,1,9.0,1832.2,38,7.49
apartment,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,214,3,2,5,1,7.0,2509.82,20,2.62
house,PR,Sul,Curitiba,Zona Oeste,FipeZAP,11694.0,171,4,4,0,3,7.5,767.96,26,18.98
apartment,SC,Sul,Florianópolis,Região Periférica,FipeZAP,13208.0,30,1,2,6,1,5.1,338.04,3,20.65
apartment,CE,Nordeste,Fortaleza,Região Periférica,FipeZAP,9350.0,148,3,2,11,3,6.3,1661.02,39,17.89
apartment,AC,Norte,Rio Branco,Área Universitária,estimated_regional_proxy,5200.0,151,4,4,27,2,7.9,1736.94,8,10.99
apartment,SE,Nordeste,Aracaju,Zona Sul,FipeZAP,5529.0,59,1,2,9,1,9.3,779.13,13,5.07
apartment,ES,Sudeste,Vitória,Zona Oeste,FipeZAP,14818.0,202,4,5,10,2,6.1,1333.48,9,19.53
apartment,PR,Sul,Curitiba,Região Periférica,FipeZAP,11694.0,59,1,1,9,0,6.2,481.92,24,18.21
apartment,RS,Sul,Porto Alegre,Zona Oeste,FipeZAP,7579.0,65,3,2,10,1,7.3,890.57,32,18.71
house,PA,Norte,Belém,Zona Oeste,FipeZAP,8882.0,286,4,4,0,0,6.0,569.74,12,15.93
house,MG,Sudeste,Belo Horizonte,Zona Sul,FipeZAP,10663.0,301,4,3,0,1,9.4,1027.61,26,11.62
house,GO,Centro-Oeste,Goiânia,Centro,FipeZAP,8226.0,196,4,4,0,1,8.8,767.06,1,1.17
apartment,PE,Nordeste,Recife,Zona Oeste,FipeZAP,8615.0,138,2,3,25,0,7.6,1552.05,27,5.64
house,PA,Norte,Belém,Região Comercial,FipeZAP,8882.0,86,2,1,0,3,7.3,553.16,24,7.66
apartment,SP,Sudeste,São Paulo,Área Nobre,FipeZAP,12019.0,148,5,5,13,3,9.4,1623.1,3,2.25
apartment,AC,Norte,Rio Branco,Região Residencial,estimated_regional_proxy,5200.0,101,3,4,13,1,8.1,1342.01,28,14.35
apartment,CE,Nordeste,Fortaleza,Centro,FipeZAP,9350.0,47,2,3,3,0,7.6,453.49,36,1.08
apartment,RS,Sul,Porto Alegre,Área Universitária,FipeZAP,7579.0,182,3,2,33,1,6.6,1437.41,22,2.55
apartment,MG,Sudeste,Belo Horizonte,Região Periférica,FipeZAP,10663.0,62,3,2,26,2,4.2,580.45,6,23.03
apartment,PB,Nordeste,João Pessoa,Zona Sul,FipeZAP,8081.0,216,4,4,21,1,7.8,1613.71,21,4.19
apartment,PA,Norte,Belém,Centro,FipeZAP,8882.0,44,1,1,7,1,8.7,648.2,24,3.13
apartment,MG,Sudeste,Belo Horizonte,Centro,FipeZAP,10663.0,33,1,2,20,1,7.7,513.71,22,1.34
apartment,PB,Nordeste,João Pessoa,Região Residencial,FipeZAP,8081.0,219,4,3,5,1,6.7,1374.49,23,11.86
apartment,AL,Nordeste,Maceió,Região Periférica,FipeZAP,9908.0,114,3,4,17,1,6.1,967.28,10,12.9
apartment,RO,Norte,Porto Velho,Zona Leste,estimated_regional_proxy,5600.0,217,3,4,0,2,6.0,1457.95,40,11.22
house,PB,Nordeste,João Pessoa,Centro,FipeZAP,8081.0,274,4,4,0,1,8.1,992.36,25,3.2
apartment,PA,Norte,Belém,Centro,FipeZAP,8882.0,135,3,3,35,1,8.6,1328.89,28,3.19
house,SE,Nordeste,Aracaju,Área Universitária,FipeZAP,5529.0,299,4,4,0,2,6.8,1352.01,20,3.81
apartment,AP,Norte,Macapá,Zona Leste,estimated_regional_proxy,5400.0,93,4,3,1,1,6.9,1119.23,39,6.73
apartment,MT,Centro-Oeste,Cuiabá,Área Nobre,FipeZAP,6931.0,40,1,1,27,2,9.9,855.65,7,1.75
house,RS,Sul,Porto Alegre,Zona Oeste,FipeZAP,7579.0,184,4,5,0,2,6.5,600.75,39,12.15
apartment,BA,Nordeste,Salvador,Zona Norte,FipeZAP,8385.0,102,3,4,14,1,5.6,845.34,0,4.81
house,SP,Sudeste,São Paulo,Região Comercial,FipeZAP,12019.0,286,4,3,0,1,6.9,1301.37,13,4.38
apartment,AP,Norte,Macapá,Área Nobre,estimated_regional_proxy,5400.0,169,4,4,23,2,9.6,2216.87,9,6.21
apartment,MT,Centro-Oeste,Cuiabá,Zona Norte,FipeZAP,6931.0,159,3,4,15,0,6.6,1223.78,28,8.48
apartment,SC,Sul,Florianópolis,Zona Leste,FipeZAP,13208.0,77,2,3,17,1,7.1,912.29,37,12.6
apartment,MG,Sudeste,Belo Horizonte,Área Nobre,FipeZAP,10663.0,103,4,3,15,3,9.9,1744.12,40,3.56
apartment,DF,Centro-Oeste,Brasília,Área Nobre,FipeZAP,10090.0,187,3,4,32,0,8.5,2753.51,10,2.22
apartment,PR,Sul,Curitiba,Área Universitária,FipeZAP,11694.0,123,2,2,26,1,8.3,1071.31,20,8.06
house,SP,Sudeste,São Paulo,Zona Oeste,FipeZAP,12019.0,142,2,1,0,2,7.5,563.61,26,10.46
apartment,RJ,Sudeste,Rio de Janeiro,Centro,FipeZAP,10939.0,137,3,4,18,2,9.0,2050.5,20,1.75
house,AM,Norte,Manaus,Área Nobre,FipeZAP,7513.0,254,3,2,0,1,9.1,715.03,36,4.62
apartment,PB,Nordeste,João Pessoa,Região Residencial,FipeZAP,8081.0,82,2,1,4,3,7.4,1263.12,39,6.55
apartment,RJ,Sudeste,Rio de Janeiro,Zona Sul,FipeZAP,10939.0,50,2,2,35,1,8.5,716.43,6,8.08
apartment,PI,Nordeste,Teresina,Centro,FipeZAP,5857.0,170,5,5,9,1,7.9,2335.0,8,2.98
apartment,PB,Nordeste,João Pessoa,Zona Oeste,FipeZAP,8081.0,73,2,3,30,2,7.3,894.99,11,16.46
apartment,MA,Nordeste,São Luís,Região Residencial,FipeZAP,8627.0,211,3,2,19,0,7.9,2018.14,16,11.23
house,AP,Norte,Macapá,Zona Leste,estimated_regional_proxy,5400.0,277,5,4,0,3,5.6,646.19,36,6.61
apartment,ES,Sudeste,Vitória,Área Nobre,FipeZAP,14818.0,165,3,3,20,1,8.7,2911.53,14,6.57
apartment,BA,Nordeste,Salvador,Zona Sul,FipeZAP,8385.0,132,3,4,0,2,8.0,1485.18,9,2.97
apartment,RS,Sul,Porto Alegre,Região Residencial,FipeZAP,7579.0,165,4,5,9,1,7.4,2188.61,34,5.74
apartment,AP,Norte,Macapá,Centro,estimated_regional_proxy,5400.0,214,5,4,13,0,9.1,1727.41,0,2.6
house,MA,Nordeste,São Luís,Região Periférica,FipeZAP,8627.0,169,2,3,0,1,5.4,665.68,31,27.17
apartment,AP,Norte,Macapá,Região Comercial,estimated_regional_proxy,5400.0,118,3,4,1,1,6.8,846.25,21,2.93
house,DF,Centro-Oeste,Brasília,Região Residencial,FipeZAP,10090.0,298,4,4,0,2,8.2,816.46,23,13.9
apartment,BA,Nordeste,Salvador,Zona Norte,FipeZAP,8385.0,162,3,4,16,1,6.1,1253.73,38,17.87
house,BA,Nordeste,Salvador,Centro,FipeZAP,8385.0,165,3,2,0,2,7.8,726.27,26,0.76
apartment,SC,Sul,Florianópolis,Região Residencial,FipeZAP,13208.0,63,2,2,13,0,7.1,498.05,20,4.59
apartment,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,207,5,4,12,1,8.4,1572.15,0,5.0
house,TO,Norte,Palmas,Região Comercial,estimated_regional_proxy,5900.0,64,3,3,0,1,6.9,347.72,11,1.14
apartment,MA,Nordeste,São Luís,Área Universitária,FipeZAP,8627.0,83,2,1,15,0,7.8,994.55,40,8.48
apartment,CE,Nordeste,Fortaleza,Região Periférica,FipeZAP,9350.0,131,4,4,30,1,5.0,1150.83,19,12.36
apartment,PA,Norte,Belém,Região Periférica,FipeZAP,8882.0,107,2,1,6,1,4.8,736.24,35,14.87
apartment,TO,Norte,Palmas,Zona Sul,estimated_regional_proxy,5900.0,147,4,4,13,3,8.4,1119.53,29,7.82
apartment,SC,Sul,Florianópolis,Região Residencial,FipeZAP,13208.0,204,3,3,16,1,8.3,2353.92,15,8.31
house,PR,Sul,Curitiba,Área Nobre,FipeZAP,11694.0,102,3,2,0,3,8.7,925.15,15,2.82
house,MG,Sudeste,Belo Horizonte,Zona Oeste,FipeZAP,10663.0,279,4,5,0,3,8.4,1237.55,20,6.78
house,MA,Nordeste,São Luís,Região Residencial,FipeZAP,8627.0,177,4,5,0,2,7.3,999.89,12,6.72
apartment,MG,Sudeste,Belo Horizonte,Área Universitária,FipeZAP,10663.0,31,1,1,31,1,7.4,418.38,7,8.61
house,AM,Norte,Manaus,Região Residencial,FipeZAP,7513.0,310,3,3,0,1,8.3,962.65,20,11.47
house,AM,Norte,Manaus,Região Residencial,FipeZAP,7513.0,319,3,3,0,2,8.6,1610.91,23,12.66
apartment,PA,Norte,Belém,Zona Leste,FipeZAP,8882.0,99,2,3,0,2,6.2,1138.49,7,20.02
house,BA,Nordeste,Salvador,Região Residencial,FipeZAP,8385.0,303,4,4,0,1,6.0,997.38,40,8.7
house,PB,Nordeste,João Pessoa,Zona Leste,FipeZAP,8081.0,134,3,2,0,2,6.3,692.74,13,6.16
apartment,GO,Centro-Oeste,Goiânia,Área Nobre,FipeZAP,8226.0,87,3,2,8,2,9.7,1167.58,24,5.18
apartment,SP,Sudeste,São Paulo,Centro,FipeZAP,12019.0,71,2,2,32,2,8.8,971.16,18,1.84
apartment,RO,Norte,Porto Velho,Área Nobre,estimated_regional_proxy,5600.0,77,1,2,12,1,8.8,1231.77,25,1.35
apartment,BA,Nordeste,Salvador,Área Universitária,FipeZAP,8385.0,194,5,5,31,1,8.6,1808.91,0,5.43
apartment,RN,Nordeste,Natal,Zona Sul,FipeZAP,6334.0,95,2,3,35,0,9.4,1040.27,12,7.73
house,SE,Nordeste,Aracaju,Área Nobre,FipeZAP,5529.0,207,4,3,0,1,9.1,588.97,13,3.24
apartment,PE,Nordeste,Recife,Centro,FipeZAP,8615.0,42,1,2,12,1,7.7,741.94,11,1.63
apartment,RO,Norte,Porto Velho,Região Comercial,estimated_regional_proxy,5600.0,214,3,3,11,1,7.7,2834.27,7,5.97
house,RR,Norte,Boa Vista,Zona Leste,estimated_regional_proxy,5300.0,147,4,3,0,1,6.1,363.59,33,18.45
apartment,PI,Nordeste,Teresina,Zona Leste,FipeZAP,5857.0,163,3,3,12,2,5.8,1650.6,9,16.24
house,GO,Centro-Oeste,Goiânia,Área Nobre,FipeZAP,8226.0,292,5,4,0,0,9.9,965.19,37,3.16
apartment,CE,Nordeste,Fortaleza,Zona Norte,FipeZAP,9350.0,122,3,3,16,1,6.0,1147.88,22,12.07
house,PB,Nordeste,João Pessoa,Região Periférica,FipeZAP,8081.0,244,3,3,0,2,5.2,768.4,4,15.47
house,MT,Centro-Oeste,Cuiabá,Região Periférica,FipeZAP,6931.0,86,3,4,0,1,6.7,276.75,3,18.96
house,PE,Nordeste,Recife,Região Periférica,FipeZAP,8615.0,241,4,5,0,0,4.5,399.93,15,15.87
apartment,PA,Norte,Belém,Região Comercial,FipeZAP,8882.0,135,4,4,0,0,6.9,1237.42,17,5.4
apartment,ES,Sudeste,Vitória,Área Nobre,FipeZAP,14818.0,98,4,5,25,2,9.6,1143.66,24,5.41
house,SC,Sul,Florianópolis,Zona Oeste,FipeZAP,13208.0,157,3,3,0,0,6.6,416.15,13,10.23
apartment,AM,Norte,Manaus,Área Nobre,FipeZAP,7513.0,175,4,5,28,0,9.5,2261.48,1,1.08
apartment,TO,Norte,Palmas,Zona Leste,estimated_regional_proxy,5900.0,208,4,5,21,2,7.1,2522.88,22,10.24
apartment,PI,Nordeste,Teresina,Área Universitária,FipeZAP,5857.0,195,5,5,7,1,7.2,2609.66,6,9.38
apartment,MG,Sudeste,Belo Horizonte,Zona Norte,FipeZAP,10663.0,150,3,4,17,1,7.1,933.92,28,11.81
apartment,SE,Nordeste,Aracaju,Centro,FipeZAP,5529.0,113,3,2,31,1,7.9,1596.57,35,2.36
house,MS,Centro-Oeste,Campo Grande,Área Universitária,FipeZAP,6839.0,90,3,2,0,2,7.6,472.91,2,7.95
apartment,SC,Sul,Florianópolis,Zona Sul,FipeZAP,13208.0,217,3,3,27,0,9.6,2190.35,4,11.1
apartment,PI,Nordeste,Teresina,Zona Oeste,FipeZAP,5857.0,175,4,4,10,1,6.6,1067.42,38,6.96
house,MG,Sudeste,Belo Horizonte,Região Residencial,FipeZAP,10663.0,162,2,2,0,2,8.7,574.55,3,11.18
apartment,SP,Sudeste,São Paulo,Centro,FipeZAP,12019.0,150,4,5,6,0,7.3,1168.67,9,2.52
apartment,DF,Centro-Oeste,Brasília,Região Periférica,FipeZAP,10090.0,219,3,4,35,1,5.2,1391.76,11,27.59
house,SP,Sudeste,São Paulo,Zona Norte,FipeZAP,12019.0,299,4,4,0,1,5.8,645.51,6,10.24
apartment,SC,Sul,Florianópolis,Zona Oeste,FipeZAP,13208.0,55,3,2,16,1,8.3,786.59,35,7.45
house,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,172,3,4,0,2,6.7,967.75,22,16.72
apartment,RS,Sul,Porto Alegre,Região Comercial,FipeZAP,7579.0,133,2,3,22,2,8.2,1613.17,12,9.7
house,RR,Norte,Boa Vista,Centro,estimated_regional_proxy,5300.0,266,4,3,0,1,7.4,925.6,2,3.07
house,SC,Sul,Florianópolis,Área Universitária,FipeZAP,13208.0,196,4,5,0,2,6.6,548.01,8,10.18
apartment,GO,Centro-Oeste,Goiânia,Área Nobre,FipeZAP,8226.0,72,2,1,34,1,8.5,1040.88,22,1.15
apartment,PE,Nordeste,Recife,Área Nobre,FipeZAP,8615.0,59,2,1,9,0,8.5,1087.52,39,2.79
apartment,SP,Sudeste,São Paulo,Centro,FipeZAP,12019.0,170,4,4,26,1,8.9,2372.83,27,2.36
house,AC,Norte,Rio Branco,Zona Oeste,estimated_regional_proxy,5200.0,198,5,4,0,0,6.9,430.79,35,16.82
apartment,TO,Norte,Palmas,Região Residencial,estimated_regional_proxy,5900.0,208,4,3,15,3,7.9,2643.09,21,15.53
apartment,RO,Norte,Porto Velho,Região Comercial,estimated_regional_proxy,5600.0,99,2,3,20,0,6.7,824.01,10,7.29
apartment,AP,Norte,Macapá,Centro,estimated_regional_proxy,5400.0,80,2,3,27,1,9.1,780.61,38,3.97
apartment,MA,Nordeste,São Luís,Região Periférica,FipeZAP,8627.0,215,3,3,28,1,5.9,1183.47,25,20.68
house,AL,Nordeste,Maceió,Região Periférica,FipeZAP,9908.0,273,5,4,0,4,5.2,985.65,38,15.38
house,AM,Norte,Manaus,Zona Oeste,FipeZAP,7513.0,103,2,3,0,2,7.7,519.99,15,7.86
apartment,AC,Norte,Rio Branco,Centro,estimated_regional_proxy,5200.0,158,3,2,9,2,9.0,1850.85,3,2.05
apartment,CE,Nordeste,Fortaleza,Zona Norte,FipeZAP,9350.0,58,2,3,34,0,6.0,940.24,27,11.68
apartment,AP,Norte,Macapá,Região Periférica,estimated_regional_proxy,5400.0,34,1,2,29,1,5.2,546.65,39,16.37
house,AC,Norte,Rio Branco,Zona Leste,estimated_regional_proxy,5200.0,222,4,5,0,0,6.0,623.13,30,16.65
house,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,139,4,4,0,3,6.7,665.64,18,4.17
house,AC,Norte,Rio Branco,Região Residencial,estimated_regional_proxy,5200.0,310,3,2,0,2,6.8,1579.24,34,3.77
apartment,PA,Norte,Belém,Área Nobre,FipeZAP,8882.0,197,3,3,0,2,9.6,2313.65,1,0.56
apartment,CE,Nordeste,Fortaleza,Centro,FipeZAP,9350.0,161,4,5,21,1,9.2,1112.08,18,2.69
apartment,RN,Nordeste,Natal,Região Periférica,FipeZAP,6334.0,64,2,2,21,3,6.3,762.39,15,23.15
house,PB,Nordeste,João Pessoa,Região Residencial,FipeZAP,8081.0,312,3,2,0,2,8.2,938.11,20,10.3
house,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,86,3,4,0,4,9.6,731.49,13,3.98
apartment,MA,Nordeste,São Luís,Área Universitária,FipeZAP,8627.0,209,3,2,23,1,8.7,2204.87,17,9.29
apartment,SE,Nordeste,Aracaju,Região Periférica,FipeZAP,5529.0,219,5,4,22,0,6.1,1519.05,36,25.18
house,AC,Norte,Rio Branco,Centro,estimated_regional_proxy,5200.0,262,5,5,0,4,9.0,1492.21,5,3.92
apartment,RJ,Sudeste,Rio de Janeiro,Zona Leste,FipeZAP,10939.0,87,3,3,24,2,6.3,979.7,19,19.47
house,ES,Sudeste,Vitória,Zona Sul,FipeZAP,14818.0,295,5,5,0,2,8.1,1520.39,40,8.28
apartment,AM,Norte,Manaus,Zona Leste,FipeZAP,7513.0,110,2,3,12,1,7.7,1360.36,22,15.38
house,MG,Sudeste,Belo Horizonte,Região Periférica,FipeZAP,10663.0,186,5,4,0,1,6.4,780.58,0,18.74
house,RJ,Sudeste,Rio de Janeiro,Zona Norte,FipeZAP,10939.0,267,4,4,0,2,7.0,729.38,39,7.49
house,PB,Nordeste,João Pessoa,Região Comercial,FipeZAP,8081.0,116,3,3,0,0,7.5,383.74,16,2.08
house,RJ,Sudeste,Rio de Janeiro,Zona Norte,FipeZAP,10939.0,264,3,3,0,2,7.3,874.5,34,9.22
house,SC,Sul,Florianópolis,Região Periférica,FipeZAP,13208.0,125,3,4,0,1,6.6,312.3,16,23.89
apartment,MT,Centro-Oeste,Cuiabá,Zona Oeste,FipeZAP,6931.0,114,2,1,15,1,7.2,1093.97,39,14.09
apartment,MS,Centro-Oeste,Campo Grande,Zona Sul,FipeZAP,6839.0,102,2,1,16,1,9.2,1015.61,33,5.74
house,ES,Sudeste,Vitória,Zona Leste,FipeZAP,14818.0,280,3,4,0,1,7.5,716.07,35,10.32
house,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,94,4,5,0,1,8.7,478.8,14,6.43
apartment,MS,Centro-Oeste,Campo Grande,Região Residencial,FipeZAP,6839.0,138,4,4,17,1,6.9,1083.57,10,13.85
house,SC,Sul,Florianópolis,Região Residencial,FipeZAP,13208.0,63,2,1,0,3,7.0,398.84,26,6.62
apartment,MT,Centro-Oeste,Cuiabá,Região Comercial,FipeZAP,6931.0,212,4,5,29,1,8.9,2800.33,26,2.67
apartment,PA,Norte,Belém,Região Comercial,FipeZAP,8882.0,41,1,1,6,1,8.9,584.81,26,4.11
apartment,CE,Nordeste,Fortaleza,Zona Sul,FipeZAP,9350.0,75,3,2,24,1,9.2,967.63,17,2.55
apartment,AC,Norte,Rio Branco,Zona Norte,estimated_regional_proxy,5200.0,84,3,2,32,1,6.8,794.94,15,10.62
apartment,MT,Centro-Oeste,Cuiabá,Centro,FipeZAP,6931.0,144,3,2,23,1,8.4,2085.5,2,1.59
apartment,AP,Norte,Macapá,Centro,estimated_regional_proxy,5400.0,80,3,3,0,2,7.9,681.02,17,3.66
apartment,AM,Norte,Manaus,Centro,FipeZAP,7513.0,119,2,3,17,2,8.6,1940.06,19,1.34
apartment,ES,Sudeste,Vitória,Região Periférica,FipeZAP,14818.0,99,4,3,2,0,6.7,817.41,11,22.19
apartment,MS,Centro-Oeste,Campo Grande,Região Residencial,FipeZAP,6839.0,147,4,3,19,1,7.7,1771.42,0,6.71
house,RS,Sul,Porto Alegre,Zona Oeste,FipeZAP,7579.0,104,3,2,0,0,7.7,195.45,11,8.68
house,PR,Sul,Curitiba,Área Universitária,FipeZAP,11694.0,224,4,4,0,2,8.4,742.2,11,4.66
house,AM,Norte,Manaus,Zona Leste,FipeZAP,7513.0,275,3,2,0,2,6.5,778.94,7,11.92
apartment,RR,Norte,Boa Vista,Zona Oeste,estimated_regional_proxy,5300.0,121,3,2,15,1,7.9,1658.29,27,13.43
apartment,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,213,3,2,6,1,7.4,1668.5,9,11.22
apartment,PA,Norte,Belém,Zona Oeste,FipeZAP,8882.0,146,5,4,16,1,8.2,1298.07,7,17.13
apartment,MG,Sudeste,Belo Horizonte,Área Universitária,FipeZAP,10663.0,209,3,4,4,1,8.0,1525.64,4,6.29
apartment,MA,Nordeste,São Luís,Região Comercial,FipeZAP,8627.0,171,4,4,9,1,8.9,1887.4,37,7.54
apartment,SP,Sudeste,São Paulo,Região Periférica,FipeZAP,12019.0,120,4,3,14,1,6.8,1067.37,9,11.71
apartment,RJ,Sudeste,Rio de Janeiro,Área Nobre,FipeZAP,10939.0,83,4,3,2,0,8.9,1404.0,31,1.3
house,TO,Norte,Palmas,Região Residencial,estimated_regional_proxy,5900.0,104,3,4,0,1,7.0,478.23,28,4.14
apartment,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,215,4,5,17,1,7.4,1667.69,32,8.98
apartment,RN,Nordeste,Natal,Zona Leste,FipeZAP,6334.0,102,4,4,27,1,5.1,1208.81,7,17.4
house,SE,Nordeste,Aracaju,Área Nobre,FipeZAP,5529.0,317,4,4,0,2,9.3,1644.26,14,5.08
apartment,PB,Nordeste,João Pessoa,Região Comercial,FipeZAP,8081.0,92,4,5,23,1,8.6,1407.78,7,9.77
apartment,PI,Nordeste,Teresina,Zona Sul,FipeZAP,5857.0,123,4,3,8,1,8.1,1997.44,26,6.87
apartment,DF,Centro-Oeste,Brasília,Região Residencial,FipeZAP,10090.0,31,1,2,19,2,7.3,717.89,15,5.77
apartment,MS,Centro-Oeste,Campo Grande,Zona Oeste,FipeZAP,6839.0,45,1,1,4,1,8.4,328.39,29,6.77
apartment,RO,Norte,Porto Velho,Zona Sul,estimated_regional_proxy,5600.0,219,3,2,6,0,8.8,1344.67,30,8.45
apartment,TO,Norte,Palmas,Zona Leste,estimated_regional_proxy,5900.0,201,4,5,3,0,7.4,1362.16,36,19.96
apartment,CE,Nordeste,Fortaleza,Centro,FipeZAP,9350.0,160,4,3,14,2,7.3,2617.18,24,2.54
apartment,CE,Nordeste,Fortaleza,Centro,FipeZAP,9350.0,103,3,2,23,2,7.5,955.46,37,2.62
