property_type,state,region,city,neighborhood,price_source,base_price_m2,area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km,price
apartment,PR,Sul,Curitiba,Área Nobre,FipeZAP,11694.0,209,4,3,17,1,8.9,1517.09,12,3.14,3484333.05
apartment,PI,Nordeste,Teresina,Zona Oeste,FipeZAP,5857.0,125,3,4,30,0,6.0,827.87,20,18.47,767851.88
apartment,BA,Nordeste,Salvador,Zona Leste,FipeZAP,8385.0,83,4,5,12,2,5.6,1075.16,11,7.78,988449.37
house,RN,Nordeste,Natal,Zona Leste,FipeZAP,6334.0,314,4,5,0,2,5.6,1052.99,37,13.18,1895129.52
apartment,MT,Centro-Oeste,Cuiabá,Região Residencial,FipeZAP,6931.0,87,3,2,16,2,6.8,963.05,29,7.27,732588.58
apartment,DF,Centro-Oeste,Brasília,Zona Sul,FipeZAP,10090.0,32,2,2,4,2,8.9,350.39,11,5.39,670544.29
apartment,AC,Norte,Rio Branco,Região Residencial,estimated_regional_proxy,5200.0,59,1,1,26,0,8.5,514.27,36,12.48,235850.3
apartment,MG,Sudeste,Belo Horizonte,Região Residencial,FipeZAP,10663.0,190,4,5,17,1,6.4,1636.89,40,10.28,2088185.22
apartment,RO,Norte,Porto Velho,Zona Leste,estimated_regional_proxy,5600.0,217,3,4,0,2,6.0,1457.95,40,11.22,1166393.44
apartment,ES,Sudeste,Vitória,Zona Leste,FipeZAP,14818.0,132,2,1,2,1,6.4,1115.35,7,9.4,1807194.55
apartment,AC,Norte,Rio Branco,Zona Leste,estimated_regional_proxy,5200.0,90,4,4,33,2,6.2,702.84,28,17.31,609175.33
house,MG,Sudeste,Belo Horizonte,Zona Norte,FipeZAP,10663.0,124,4,4,0,2,7.5,486.11,18,7.4,1357887.19
apartment,SP,Sudeste,São Paulo,Zona Leste,FipeZAP,12019.0,211,4,5,30,0,5.9,1710.59,31,12.99,2217063.22
apartment,ES,Sudeste,Vitória,Zona Leste,FipeZAP,14818.0,140,2,1,3,2,7.9,1114.12,20,7.81,2067279.07
house,RS,Sul,Porto Alegre,Centro,FipeZAP,7579.0,193,3,4,0,2,8.4,812.08,4,2.97,1762938.05
apartment,AP,Norte,Macapá,Região Residencial,estimated_regional_proxy,5400.0,124,3,3,26,0,6.2,1352.43,26,5.12,834656.79
apartment,GO,Centro-Oeste,Goiânia,Região Residencial,FipeZAP,8226.0,146,4,3,28,0,7.1,1478.8,6,4.92,1484543.32
house,RN,Nordeste,Natal,Zona Oeste,FipeZAP,6334.0,190,3,4,0,1,6.0,558.23,31,5.13,1199809.17
apartment,CE,Nordeste,Fortaleza,Área Nobre,FipeZAP,9350.0,70,2,3,14,2,8.5,1169.61,29,6.73,1029890.53
apartment,GO,Centro-Oeste,Goiânia,Zona Leste,FipeZAP,8226.0,60,2,1,27,2,7.7,985.15,26,8.47,608734.42
house,MS,Centro-Oeste,Campo Grande,Zona Sul,FipeZAP,6839.0,152,2,2,0,1,8.4,850.38,38,3.95,1159364.62
apartment,ES,Sudeste,Vitória,Zona Norte,FipeZAP,14818.0,38,1,1,13,1,6.1,501.16,27,11.97,470834.99
apartment,RO,Norte,Porto Velho,Centro,estimated_regional_proxy,5600.0,42,1,2,3,1,7.6,534.55,5,2.17,515795.98
apartment,MG,Sudeste,Belo Horizonte,Região Periférica,FipeZAP,10663.0,134,2,1,6,1,5.7,760.61,7,18.63,1213314.71
house,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,225,3,4,0,3,6.1,1063.09,33,6.07,2076675.29
apartment,PI,Nordeste,Teresina,Região Periférica,FipeZAP,5857.0,79,2,3,20,1,6.8,573.53,17,22.43,460462.84
house,MS,Centro-Oeste,Campo Grande,Região Residencial,FipeZAP,6839.0,317,3,4,0,2,6.8,1506.73,33,13.16,1957371.09
apartment,AL,Nordeste,Maceió,Região Comercial,FipeZAP,9908.0,86,4,3,34,1,8.4,714.74,37,3.22,1133298.74
apartment,MT,Centro-Oeste,Cuiabá,Zona Leste,FipeZAP,6931.0,62,2,3,18,1,5.1,771.59,21,17.21,440828.78
house,RJ,Sudeste,Rio de Janeiro,Zona Sul,FipeZAP,10939.0,195,3,2,0,2,9.3,1076.0,12,3.88,2372225.8
apartment,RO,Norte,Porto Velho,Zona Norte,estimated_regional_proxy,5600.0,171,3,3,0,1,6.4,1532.04,19,11.8,960430.0
apartment,BA,Nordeste,Salvador,Zona Norte,FipeZAP,8385.0,212,3,3,1,1,5.7,2520.63,31,17.98,1521141.85
apartment,RS,Sul,Porto Alegre,Área Universitária,FipeZAP,7579.0,151,5,4,23,1,7.9,2014.93,24,7.55,1484948.9
house,TO,Norte,Palmas,Zona Sul,estimated_regional_proxy,5900.0,195,4,4,0,1,8.5,1041.54,34,3.66,1469699.76
apartment,GO,Centro-Oeste,Goiânia,Área Nobre,FipeZAP,8226.0,98,4,4,24,2,9.3,1287.0,25,5.03,1410972.43
apartment,PI,Nordeste,Teresina,Centro,FipeZAP,5857.0,88,2,2,7,1,9.3,1026.12,22,3.96,698599.66
house,TO,Norte,Palmas,Centro,estimated_regional_proxy,5900.0,221,5,4,0,2,7.7,1117.13,30,0.53,1708796.7
apartment,PR,Sul,Curitiba,Centro,FipeZAP,11694.0,157,5,5,16,0,7.6,1397.98,24,1.5,2121740.13
house,GO,Centro-Oeste,Goiânia,Região Periférica,FipeZAP,8226.0,83,3,2,0,1,6.7,245.71,7,20.17,575921.55
apartment,PE,Nordeste,Recife,Zona Oeste,FipeZAP,8615.0,84,2,2,26,1,6.9,1152.53,7,8.39,905895.57
apartment,RO,Norte,Porto Velho,Região Periférica,estimated_regional_proxy,5600.0,117,3,2,7,2,5.8,832.66,10,26.22,629832.39
apartment,PR,Sul,Curitiba,Região Periférica,FipeZAP,11694.0,180,4,3,10,1,5.3,731.23,1,25.65,1681125.48
apartment,AL,Nordeste,Maceió,Região Comercial,FipeZAP,9908.0,205,5,5,35,0,8.8,2329.69,35,3.42,2320172.94
apartment,DF,Centro-Oeste,Brasília,Zona Oeste,FipeZAP,10090.0,113,2,3,35,1,8.4,1605.22,38,5.56,1153302.57
apartment,CE,Nordeste,Fortaleza,Centro,FipeZAP,9350.0,60,2,3,16,3,7.7,937.95,37,1.74,839512.0
house,PA,Norte,Belém,Zona Leste,FipeZAP,8882.0,90,3,3,0,3,5.6,435.0,24,7.26,856801.09
house,MA,Nordeste,São Luís,Zona Norte,FipeZAP,8627.0,283,5,5,0,3,7.5,778.13,16,6.49,2303490.14
apartment,AL,Nordeste,Maceió,Região Periférica,FipeZAP,9908.0,125,3,4,27,2,6.6,1388.83,34,23.49,961510.9
apartment,AC,Norte,Rio Branco,Zona Norte,estimated_regional_proxy,5200.0,100,3,3,18,1,7.0,1396.89,34,16.55,542730.66
apartment,BA,Nordeste,Salvador,Zona Leste,FipeZAP,8385.0,89,3,3,28,1,6.2,922.11,39,11.7,661992.49
apartment,SE,Nordeste,Aracaju,Área Nobre,FipeZAP,5529.0,63,2,1,20,0,9.7,1023.03,4,6.57,676734.59
apartment,GO,Centro-Oeste,Goiânia,Área Nobre,FipeZAP,8226.0,154,4,4,19,1,9.0,1711.17,1,0.67,2077111.99
apartment,SP,Sudeste,São Paulo,Área Universitária,FipeZAP,12019.0,44,1,1,18,3,7.6,874.45,7,3.25,818443.07
apartment,MS,Centro-Oeste,Campo Grande,Região Residencial,FipeZAP,6839.0,88,2,2,9,1,7.5,542.08,33,5.88,716747.69
house,PR,Sul,Curitiba,Zona Sul,FipeZAP,11694.0,137,3,4,0,2,9.6,635.26,8,9.69,1920914.35
house,SC,Sul,Florianópolis,Área Universitária,FipeZAP,13208.0,184,4,5,0,3,6.9,816.99,6,11.17,2615349.32
apartment,RR,Norte,Boa Vista,Centro,estimated_regional_proxy,5300.0,126,3,2,22,1,7.9,1181.11,30,1.5,992295.08
house,MT,Centro-Oeste,Cuiabá,Zona Sul,FipeZAP,6931.0,272,4,4,0,2,8.9,1191.88,27,3.62,2450752.61
apartment,RS,Sul,Porto Alegre,Região Comercial,FipeZAP,7579.0,116,3,4,33,1,8.0,1046.61,5,2.7,1163272.73
apartment,SC,Sul,Florianópolis,Região Periférica,FipeZAP,13208.0,120,3,4,28,1,4.5,636.09,40,27.32,1049027.51
house,BA,Nordeste,Salvador,Zona Sul,FipeZAP,8385.0,214,4,4,0,2,7.8,1062.67,30,6.56,1980542.3
apartment,RO,Norte,Porto Velho,Área Universitária,estimated_regional_proxy,5600.0,185,4,4,14,2,7.8,2587.82,10,13.57,1396451.05
house,TO,Norte,Palmas,Centro,estimated_regional_proxy,5900.0,268,4,4,0,2,8.7,884.72,15,2.23,2009788.89
apartment,SC,Sul,Florianópolis,Área Universitária,FipeZAP,13208.0,132,3,3,22,2,7.9,1863.87,24,8.9,2090579.42
apartment,AC,Norte,Rio Branco,Região Residencial,estimated_regional_proxy,5200.0,101,2,3,27,2,7.0,1442.45,0,3.77,895872.35
house,DF,Centro-Oeste,Brasília,Zona Oeste,FipeZAP,10090.0,181,4,4,0,2,7.7,590.21,40,8.43,1691044.58
house,SP,Sudeste,São Paulo,Centro,FipeZAP,12019.0,208,3,3,0,2,7.4,706.34,35,2.09,2367609.83
apartment,RS,Sul,Porto Alegre,Região Periférica,FipeZAP,7579.0,183,3,3,21,2,5.6,1771.54,2,24.21,1162123.97
apartment,AM,Norte,Manaus,Zona Leste,FipeZAP,7513.0,163,5,5,8,2,6.4,1914.54,34,14.64,1283791.96
apartment,TO,Norte,Palmas,Zona Sul,estimated_regional_proxy,5900.0,64,3,2,2,1,7.8,752.66,2,7.25,731634.99
house,SC,Sul,Florianópolis,Zona Oeste,FipeZAP,13208.0,289,4,4,0,0,6.4,562.68,0,15.33,3428819.09
apartment,RJ,Sudeste,Rio de Janeiro,Zona Oeste,FipeZAP,10939.0,92,3,2,27,0,8.2,932.8,17,6.4,1042989.21
apartment,PA,Norte,Belém,Área Nobre,FipeZAP,8882.0,95,4,3,9,3,9.8,1462.52,20,5.1,1399501.81
apartment,PE,Nordeste,Recife,Região Residencial,FipeZAP,8615.0,170,4,4,28,2,8.0,2180.84,13,15.48,1819137.67
apartment,PA,Norte,Belém,Centro,FipeZAP,8882.0,177,4,5,17,1,8.5,2141.51,40,0.74,2113147.52
house,MA,Nordeste,São Luís,Região Periférica,FipeZAP,8627.0,111,4,5,0,3,5.3,541.48,31,12.86,979687.79
house,ES,Sudeste,Vitória,Região Residencial,FipeZAP,14818.0,128,2,2,0,2,8.7,539.49,39,15.49,1656961.15
apartment,PB,Nordeste,João Pessoa,Região Periférica,FipeZAP,8081.0,146,3,2,7,2,7.0,1064.75,39,16.31,899150.33
apartment,GO,Centro-Oeste,Goiânia,Zona Oeste,FipeZAP,8226.0,67,1,1,15,1,7.8,601.67,39,13.02,466225.02
apartment,PI,Nordeste,Teresina,Área Nobre,FipeZAP,5857.0,92,3,2,34,1,9.4,1364.52,25,5.02,887143.56
apartment,ES,Sudeste,Vitória,Zona Leste,FipeZAP,14818.0,43,1,1,9,1,5.7,548.55,18,16.49,621862.19
apartment,SE,Nordeste,Aracaju,Zona Leste,FipeZAP,5529.0,108,2,1,9,0,6.6,728.95,25,8.52,544174.24
apartment,GO,Centro-Oeste,Goiânia,Área Nobre,FipeZAP,8226.0,150,4,5,35,1,8.7,1341.21,8,5.65,1948183.55
apartment,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,82,2,2,26,1,8.0,1356.86,16,3.52,1047985.57
apartment,PA,Norte,Belém,Zona Norte,FipeZAP,8882.0,139,4,5,11,1,5.6,1409.88,39,6.61,1217786.5
apartment,MT,Centro-Oeste,Cuiabá,Zona Leste,FipeZAP,6931.0,155,4,3,2,2,6.3,1957.75,11,6.89,1317408.02
house,BA,Nordeste,Salvador,Zona Oeste,FipeZAP,8385.0,222,4,5,0,1,8.2,1071.42,27,18.73,1929516.2
apartment,PB,Nordeste,João Pessoa,Região Residencial,FipeZAP,8081.0,188,5,5,9,1,6.5,2064.68,19,12.22,1769381.84
apartment,PB,Nordeste,João Pessoa,Região Comercial,FipeZAP,8081.0,56,2,1,12,1,6.6,516.93,36,6.48,468040.93
apartment,RS,Sul,Porto Alegre,Área Nobre,FipeZAP,7579.0,40,1,2,13,1,9.1,825.64,9,4.14,618818.82
apartment,PE,Nordeste,Recife,Região Periférica,FipeZAP,8615.0,141,4,5,23,0,7.0,1011.21,26,15.02,1031610.52
apartment,MT,Centro-Oeste,Cuiabá,Região Comercial,FipeZAP,6931.0,57,2,1,21,0,7.0,954.71,16,1.06,553282.91
house,MT,Centro-Oeste,Cuiabá,Zona Norte,FipeZAP,6931.0,188,5,5,0,3,7.6,520.84,39,9.62,1454888.69
house,TO,Norte,Palmas,Região Periférica,estimated_regional_proxy,5900.0,317,4,4,0,1,5.1,728.21,31,11.82,1613213.01
house,AP,Norte,Macapá,Zona Leste,estimated_regional_proxy,5400.0,289,3,4,0,3,5.4,762.94,12,13.82,1621193.14
apartment,RN,Nordeste,Natal,Zona Norte,FipeZAP,6334.0,140,4,5,13,0,6.0,779.99,15,8.92,1033249.48
apartment,SE,Nordeste,Aracaju,Região Periférica,FipeZAP,5529.0,157,3,2,4,1,6.7,1036.8,5,10.7,951931.74
apartment,AL,Nordeste,Maceió,Zona Sul,FipeZAP,9908.0,83,3,4,29,1,8.3,1479.02,15,5.94,1267953.83
apartment,RS,Sul,Porto Alegre,Zona Leste,FipeZAP,7579.0,43,1,1,30,2,5.0,564.02,29,10.85,335875.78
apartment,ES,Sudeste,Vitória,Região Residencial,FipeZAP,14818.0,110,3,3,0,1,8.5,1506.6,25,11.77,1772674.1
apartment,AC,Norte,Rio Branco,Região Periférica,estimated_regional_proxy,5200.0,177,5,5,21,1,5.1,1393.67,33,19.36,812213.81
apartment,AL,Nordeste,Maceió,Região Residencial,FipeZAP,9908.0,131,2,3,7,0,6.7,1707.13,20,15.47,1292149.14
house,RS,Sul,Porto Alegre,Região Periférica,FipeZAP,7579.0,289,4,5,0,0,6.0,295.28,15,18.32,1618907.98
apartment,MT,Centro-Oeste,Cuiabá,Área Nobre,FipeZAP,6931.0,70,3,4,22,2,9.1,1190.04,39,5.37,808813.61
apartment,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,204,3,4,4,2,8.2,2754.97,7,8.2,2437493.57
apartment,RN,Nordeste,Natal,Região Comercial,FipeZAP,6334.0,199,3,3,10,2,8.0,2256.94,13,7.05,1607186.95
apartment,AL,Nordeste,Maceió,Região Periférica,FipeZAP,9908.0,172,4,4,33,1,4.5,957.5,37,22.54,1297226.9
apartment,SC,Sul,Florianópolis,Zona Norte,FipeZAP,13208.0,200,4,4,35,0,7.1,2445.69,0,6.84,2636678.63
house,MT,Centro-Oeste,Cuiabá,Zona Oeste,FipeZAP,6931.0,309,4,4,0,1,6.1,529.75,3,12.7,2013041.5
house,PR,Sul,Curitiba,Região Comercial,FipeZAP,11694.0,96,4,5,0,3,8.9,626.42,9,4.98,1456561.34
apartment,AP,Norte,Macapá,Área Universitária,estimated_regional_proxy,5400.0,39,1,1,7,1,7.0,376.48,38,4.41,184829.44
apartment,DF,Centro-Oeste,Brasília,Região Periférica,FipeZAP,10090.0,219,3,4,35,1,5.2,1391.76,11,27.59,1586822.31
apartment,PI,Nordeste,Teresina,Área Universitária,FipeZAP,5857.0,190,4,4,13,0,8.0,1647.63,21,7.36,1327261.77
apartment,TO,Norte,Palmas,Área Universitária,estimated_regional_proxy,5900.0,68,3,3,15,2,7.2,610.58,24,7.98,655939.2
apartment,PA,Norte,Belém,Zona Leste,FipeZAP,8882.0,49,1,1,33,1,7.6,488.93,2,12.93,580573.26
house,DF,Centro-Oeste,Brasília,Região Periférica,FipeZAP,10090.0,106,3,3,0,3,4.4,536.69,10,26.48,852131.02
house,PR,Sul,Curitiba,Centro,FipeZAP,11694.0,199,4,5,0,2,7.7,760.85,31,3.99,2273798.43
house,TO,Norte,Palmas,Zona Leste,estimated_regional_proxy,5900.0,313,3,2,0,2,5.3,1096.88,35,13.47,1577333.87
apartment,BA,Nordeste,Salvador,Zona Leste,FipeZAP,8385.0,82,2,3,15,2,6.7,1178.01,36,6.9,723999.88
house,GO,Centro-Oeste,Goiânia,Área Universitária,FipeZAP,8226.0,261,3,2,0,3,7.7,1158.56,33,6.85,2186580.27
apartment,AC,Norte,Rio Branco,Região Comercial,estimated_regional_proxy,5200.0,63,1,1,18,0,7.0,900.28,18,8.22,423863.29
house,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,218,3,3,0,1,6.9,785.94,29,5.59,2003487.79
apartment,RO,Norte,Porto Velho,Região Periférica,estimated_regional_proxy,5600.0,97,4,3,25,1,5.1,959.56,19,17.88,520268.24
house,AL,Nordeste,Maceió,Zona Norte,FipeZAP,9908.0,237,3,4,0,1,6.0,847.5,32,13.74,2027040.25
apartment,SE,Nordeste,Aracaju,Zona Leste,FipeZAP,5529.0,218,4,3,10,0,7.0,1416.87,14,20.75,1228542.06
apartment,PI,Nordeste,Teresina,Área Universitária,FipeZAP,5857.0,215,3,3,13,0,6.5,2084.93,24,6.63,1489017.07
apartment,GO,Centro-Oeste,Goiânia,Região Periférica,FipeZAP,8226.0,135,2,2,28,1,5.3,1242.07,40,25.55,636532.56
apartment,AL,Nordeste,Maceió,Zona Oeste,FipeZAP,9908.0,160,4,3,28,1,6.2,1093.46,33,13.52,1500999.55
apartment,RR,Norte,Boa Vista,Região Periférica,estimated_regional_proxy,5300.0,43,1,2,23,1,6.6,458.39,32,17.73,131771.22
apartment,PE,Nordeste,Recife,Região Comercial,FipeZAP,8615.0,83,3,3,29,1,6.5,831.11,6,3.43,1053328.65
apartment,RS,Sul,Porto Alegre,Centro,FipeZAP,7579.0,157,3,4,29,1,8.9,1603.13,12,2.24,1680048.88
apartment,PI,Nordeste,Teresina,Zona Sul,FipeZAP,5857.0,112,3,3,0,3,9.1,1168.47,25,6.74,981098.68
apartment,BA,Nordeste,Salvador,Zona Sul,FipeZAP,8385.0,55,2,1,15,0,9.3,617.2,38,3.32,613091.75
apartment,AM,Norte,Manaus,Região Comercial,FipeZAP,7513.0,184,4,3,31,1,7.5,2628.99,12,3.68,1746107.3
house,AM,Norte,Manaus,Zona Leste,FipeZAP,7513.0,65,3,4,0,3,5.6,541.07,17,5.9,705593.53
apartment,MS,Centro-Oeste,Campo Grande,Centro,FipeZAP,6839.0,160,3,3,18,0,7.5,1129.03,16,3.98,1332007.5
house,BA,Nordeste,Salvador,Região Residencial,FipeZAP,8385.0,158,2,1,0,1,7.6,418.71,4,14.5,1307855.42
apartment,RO,Norte,Porto Velho,Região Comercial,estimated_regional_proxy,5600.0,210,3,4,25,0,7.2,2022.27,30,3.39,1316538.16
apartment,AM,Norte,Manaus,Zona Leste,FipeZAP,7513.0,109,3,3,3,0,5.3,1103.72,31,7.64,761336.7
apartment,RJ,Sudeste,Rio de Janeiro,Zona Sul,FipeZAP,10939.0,64,2,3,10,0,7.6,903.42,11,5.92,1005180.0
apartment,PA,Norte,Belém,Área Nobre,FipeZAP,8882.0,53,3,2,20,1,9.5,658.6,0,4.58,965955.57
apartment,SP,Sudeste,São Paulo,Área Nobre,FipeZAP,12019.0,35,1,1,17,0,9.1,434.15,32,4.77,568977.42
house,CE,Nordeste,Fortaleza,Centro,FipeZAP,9350.0,118,3,3,0,1,7.1,608.1,4,2.93,1461327.58
apartment,ES,Sudeste,Vitória,Área Nobre,FipeZAP,14818.0,41,2,2,27,1,10.0,828.39,33,1.22,959879.89
apartment,MA,Nordeste,São Luís,Zona Oeste,FipeZAP,8627.0,159,3,4,16,2,7.8,982.7,22,19.27,1492487.81
apartment,AC,Norte,Rio Branco,Região Periférica,estimated_regional_proxy,5200.0,67,2,1,2,1,6.7,539.56,34,19.58,187399.0
house,PB,Nordeste,João Pessoa,Área Universitária,FipeZAP,8081.0,83,2,3,0,3,6.8,668.08,30,12.28,764462.25
house,MG,Sudeste,Belo Horizonte,Área Nobre,FipeZAP,10663.0,157,4,3,0,2,10.0,690.58,40,6.22,2004073.1
apartment,SC,Sul,Florianópolis,Zona Norte,FipeZAP,13208.0,80,1,1,27,1,8.0,914.28,21,13.43,1065616.04
apartment,PE,Nordeste,Recife,Centro,FipeZAP,8615.0,151,3,2,18,1,9.1,1634.18,29,3.45,1636747.24
house,MT,Centro-Oeste,Cuiabá,Zona Leste,FipeZAP,6931.0,147,3,2,0,2,7.1,717.59,6,20.87,1060852.58
house,SC,Sul,Florianópolis,Zona Norte,FipeZAP,13208.0,235,5,5,0,2,5.6,1267.17,10,9.42,2876700.66
apartment,TO,Norte,Palmas,Zona Norte,estimated_regional_proxy,5900.0,63,3,3,27,1,7.7,994.43,31,6.65,523327.75
apartment,AM,Norte,Manaus,Região Residencial,FipeZAP,7513.0,114,3,4,5,0,7.6,721.05,35,7.46,890489.93
apartment,PB,Nordeste,João Pessoa,Área Universitária,FipeZAP,8081.0,219,4,3,9,2,8.1,2951.44,33,6.14,2010721.63
apartment,RN,Nordeste,Natal,Área Universitária,FipeZAP,6334.0,206,3,3,25,1,8.5,2601.92,33,4.16,1457654.5
house,GO,Centro-Oeste,Goiânia,Região Residencial,FipeZAP,8226.0,87,2,1,0,2,8.3,445.08,4,14.87,905086.62
apartment,AM,Norte,Manaus,Região Periférica,FipeZAP,7513.0,105,3,2,17,1,5.6,1096.04,8,26.24,689935.49
apartment,SE,Nordeste,Aracaju,Área Universitária,FipeZAP,5529.0,56,2,2,29,3,8.6,960.7,36,5.84,524185.96
apartment,AP,Norte,Macapá,Área Universitária,estimated_regional_proxy,5400.0,214,4,3,25,0,7.4,1434.41,10,6.73,1503446.4
house,SC,Sul,Florianópolis,Zona Norte,FipeZAP,13208.0,299,3,4,0,3,6.1,1323.38,15,15.81,3185690.94
apartment,MA,Nordeste,São Luís,Zona Leste,FipeZAP,8627.0,172,3,4,19,1,7.1,1244.99,21,20.61,1442400.92
apartment,RJ,Sudeste,Rio de Janeiro,Região Comercial,FipeZAP,10939.0,88,3,4,1,1,9.0,1395.44,7,9.05,1227077.99
apartment,AP,Norte,Macapá,Área Universitária,estimated_regional_proxy,5400.0,48,2,1,29,1,8.3,613.88,39,4.44,290252.63
apartment,RO,Norte,Porto Velho,Zona Oeste,estimated_regional_proxy,5600.0,95,3,4,14,1,8.4,1186.89,21,14.82,691643.6
apartment,MS,Centro-Oeste,Campo Grande,Zona Leste,FipeZAP,6839.0,168,3,2,33,1,6.0,1698.15,2,9.83,1305708.43
apartment,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,173,4,5,26,0,7.5,2103.79,12,6.21,1828223.71
apartment,MT,Centro-Oeste,Cuiabá,Zona Norte,FipeZAP,6931.0,140,3,3,30,2,6.0,1407.41,7,13.31,1206220.66
apartment,MS,Centro-Oeste,Campo Grande,Área Nobre,FipeZAP,6839.0,184,5,4,11,1,9.4,2517.15,9,1.33,2055223.87
apartment,DF,Centro-Oeste,Brasília,Região Comercial,FipeZAP,10090.0,107,3,3,0,2,7.9,1174.94,24,9.49,1352819.84
apartment,AC,Norte,Rio Branco,Área Universitária,estimated_regional_proxy,5200.0,89,2,1,9,1,7.8,600.22,25,10.62,486024.44
house,CE,Nordeste,Fortaleza,Região Periférica,FipeZAP,9350.0,298,4,4,0,2,4.8,1090.82,39,12.93,1793281.42
apartment,SE,Nordeste,Aracaju,Zona Norte,FipeZAP,5529.0,118,2,1,6,2,6.8,905.48,6,15.77,774244.55
house,AP,Norte,Macapá,Região Comercial,estimated_regional_proxy,5400.0,170,3,2,0,1,7.4,605.94,7,1.95,1222100.54
apartment,PA,Norte,Belém,Região Periférica,FipeZAP,8882.0,156,4,5,5,0,5.4,687.5,22,15.24,1228246.95
apartment,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,51,1,1,6,1,5.2,491.03,23,9.15,419591.88
apartment,PB,Nordeste,João Pessoa,Zona Leste,FipeZAP,8081.0,99,3,4,1,1,5.3,854.23,27,9.71,878811.48
house,AL,Nordeste,Maceió,Zona Leste,FipeZAP,9908.0,204,5,4,0,2,7.3,663.14,36,16.32,1722568.46
apartment,PA,Norte,Belém,Região Periférica,FipeZAP,8882.0,172,4,4,12,2,6.1,896.04,40,14.31,1230937.09
apartment,SE,Nordeste,Aracaju,Área Universitária,FipeZAP,5529.0,75,1,1,26,1,8.0,635.97,6,13.76,587599.58
apartment,MG,Sudeste,Belo Horizonte,Centro,FipeZAP,10663.0,56,1,1,17,1,8.9,690.66,38,1.15,718716.31
apartment,MS,Centro-Oeste,Campo Grande,Centro,FipeZAP,6839.0,82,2,1,4,1,8.1,759.59,13,3.61,748187.16
house,DF,Centro-Oeste,Brasília,Centro,FipeZAP,10090.0,200,5,4,0,3,7.9,865.87,16,3.88,2322735.19
apartment,AP,Norte,Macapá,Zona Oeste,estimated_regional_proxy,5400.0,87,4,5,13,1,7.7,592.28,31,8.55,633796.78
apartment,RJ,Sudeste,Rio de Janeiro,Zona Leste,FipeZAP,10939.0,160,5,4,3,2,5.4,2019.04,13,9.65,2011259.43
apartment,TO,Norte,Palmas,Zona Oeste,estimated_regional_proxy,5900.0,91,2,1,2,1,7.5,653.31,30,12.83,506990.97
apartment,RN,Nordeste,Natal,Zona Oeste,FipeZAP,6334.0,96,2,1,22,2,6.9,1305.86,31,9.82,654797.34
apartment,BA,Nordeste,Salvador,Área Nobre,FipeZAP,8385.0,191,3,3,1,2,9.3,1488.96,38,4.37,2200284.92
house,AL,Nordeste,Maceió,Zona Leste,FipeZAP,9908.0,110,3,2,0,2,6.8,369.25,28,16.3,942759.54
apartment,CE,Nordeste,Fortaleza,Região Residencial,FipeZAP,9350.0,31,2,3,6,1,6.8,415.5,29,7.17,360408.03
apartment,PI,Nordeste,Teresina,Centro,FipeZAP,5857.0,126,4,3,27,0,7.6,1712.93,7,2.25,1088493.31
apartment,ES,Sudeste,Vitória,Região Comercial,FipeZAP,14818.0,124,3,2,13,1,8.7,1578.55,27,5.41,1861523.85
house,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,171,3,4,0,2,6.7,817.59,2,6.78,1945691.92
apartment,PR,Sul,Curitiba,Centro,FipeZAP,11694.0,105,2,2,13,1,7.6,1649.75,37,2.32,1350701.51
apartment,PI,Nordeste,Teresina,Centro,FipeZAP,5857.0,35,2,3,17,1,7.4,374.98,10,3.24,527093.3
apartment,RO,Norte,Porto Velho,Área Universitária,estimated_regional_proxy,5600.0,206,4,4,10,0,8.4,1157.4,17,10.01,1257038.47
apartment,PR,Sul,Curitiba,Zona Oeste,FipeZAP,11694.0,46,2,3,11,0,6.3,409.37,2,18.01,674954.9
apartment,RS,Sul,Porto Alegre,Zona Oeste,FipeZAP,7579.0,84,3,2,9,2,6.3,786.98,16,9.94,844218.48
apartment,RN,Nordeste,Natal,Região Comercial,FipeZAP,6334.0,213,4,5,35,1,7.2,1289.12,2,4.86,1833974.02
apartment,DF,Centro-Oeste,Brasília,Zona Sul,FipeZAP,10090.0,151,4,3,13,0,9.4,1576.41,29,4.67,2050768.55
house,SP,Sudeste,São Paulo,Área Universitária,FipeZAP,12019.0,193,3,3,0,2,8.1,986.08,25,2.2,2418073.85
apartment,MS,Centro-Oeste,Campo Grande,Zona Norte,FipeZAP,6839.0,108,3,2,18,1,6.0,748.99,27,15.04,740714.58
apartment,PA,Norte,Belém,Área Nobre,FipeZAP,8882.0,90,3,3,7,0,9.1,1198.72,18,6.89,1153645.38
house,PE,Nordeste,Recife,Zona Norte,FipeZAP,8615.0,293,4,3,0,2,7.5,1151.24,7,10.37,2361223.41
apartment,RS,Sul,Porto Alegre,Área Universitária,FipeZAP,7579.0,78,2,2,20,0,7.7,630.02,5,2.96,805221.29
