area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km
158,3,2,5,2,9.09,1500.1,2,0.85
228,2,4,15,1,7.07,569.5,15,9.56
258,4,3,18,1,8.74,2412.81,17,0.64
105,3,2,0,0,8.38,2499.27,8,16.28
162,4,3,31,1,7.2,1574.27,26,4.37
94,4,3,29,2,7.16,1166.21,24,5.21
217,3,1,14,0,7.94,568.08,2,17.81
216,3,1,8,1,6.35,2474.21,30,8.97
99,3,1,21,3,8.87,2677.55,8,6.47
256,3,1,15,0,9.66,2035.37,26,1.79
275,4,3,22,2,9.63,1359.02,25,12.32
254,4,3,8,2,8.36,844.24,27,15.57
238,3,3,9,2,6.85,1354.27,34,1.08
225,4,2,3,2,6.03,753.39,18,18.02
128,2,3,21,3,8.18,2642.67,14,3.99
276,3,2,33,0,6.99,563.1,29,10.67
134,4,3,31,2,7.16,472.81,29,1.77
179,3,1,19,0,8.66,453.67,33,15.05
217,3,1,4,1,6.49,1758.53,19,17.3
232,4,4,16,3,8.41,1558.11,17,4.85
138,2,1,15,3,8.99,1261.98,32,13.78
157,2,4,27,2,6.14,1152.44,23,13.24
169,3,2,9,3,8.24,914.67,19,18.95
144,3,2,17,0,8.89,1601.27,4,11.9
138,3,4,17,0,7.73,524.87,24,9.68
261,4,2,29,3,7.21,2623.49,23,3.98
120,3,1,33,2,6.63,2538.44,8,3.84
160,3,2,28,1,9.82,1275.31,25,3.7
101,2,4,10,1,7.63,2197.54,34,0.92
226,4,1,0,3,6.78,1136.16,27,11.54
239,3,2,21,3,6.2,818.87,31,17.23
174,4,2,17,3,6.94,618.65,34,16.81
83,2,2,32,0,9.31,1659.29,8,5.71
93,4,4,1,0,6.74,574.84,31,9.84
123,4,3,22,1,8.68,2392.34,33,17.38
96,3,1,13,1,9.67,2280.04,4,3.69
117,4,3,18,0,7.54,2683.76,18,9.42
177,4,4,12,3,8.12,2664.83,18,8.55
192,4,3,2,1,6.62,1388.53,12,18.73
218,4,1,27,3,6.91,2338.37,20,13.06
265,2,3,0,3,7.55,1937.11,2,15.14
225,3,3,8,2,8.73,884.47,2,18.18
169,4,1,24,3,7.94,1651.6,14,5.98
140,2,4,20,2,9.4,1026.42,30,2.14
252,4,1,19,0,8.99,739.6,16,17.41
71,4,2,16,3,8.27,2221.84,34,12.39
223,4,2,13,2,7.74,1914.42,20,13.17
182,3,4,28,0,8.24,1232.48,9,7.49
173,4,4,20,2,7.74,1863.58,10,16.78
109,2,4,28,2,7.87,921.9,5,17.25
129,2,2,16,1,7.22,1677.62,32,13.74
137,2,3,2,2,6.68,1232.87,33,8.41
78,4,3,20,3,9.86,618.19,22,4.91
188,3,2,27,1,6.19,2434.67,14,16.94
189,4,2,23,1,6.2,2655.72,16,2.24
152,3,1,5,2,6.44,1297.17,10,10.52
259,4,2,23,2,7.6,1072.79,30,9.42
166,3,3,23,1,8.04,611.24,3,1.07
85,3,3,2,2,7.22,1577.21,3,3.91
80,3,1,2,0,8.97,2197.2,31,13.11
147,4,3,22,1,7.44,1031.79,9,15.29
108,2,4,2,1,6.49,2733.42,3,12.02
250,4,4,33,1,7.71,1904.05,1,15.97
246,4,4,32,0,7.78,2630.87,23,3.93
272,2,4,10,3,8.04,2610.94,21,0.61
177,2,2,30,2,7.19,1984.86,6,4.4
172,4,4,7,3,7.65,950.52,30,2.7
255,4,3,15,3,7.39,1945.1,10,8.35
203,3,2,3,3,6.72,1210.2,14,6.09
250,2,3,7,0,7.43,1613.92,25,19.47
110,2,4,25,2,8.58,1340.24,10,2.29
110,3,2,7,3,9.9,438.0,27,0.93
81,4,1,7,2,7.97,1346.82,4,17.32
153,4,1,10,0,7.95,568.52,9,3.83
235,2,3,7,1,7.11,2627.91,26,2.69
180,3,2,12,0,7.6,1051.66,8,0.79
185,4,1,15,3,9.59,467.78,20,16.66
90,4,3,2,1,6.8,1407.91,10,6.94
96,3,4,32,0,7.86,2135.64,20,2.59
87,2,3,11,1,9.78,2687.0,18,14.2
147,4,4,15,2,8.82,1376.0,7,13.34
246,4,3,1,3,8.44,1279.68,20,8.23
225,3,1,16,0,8.18,600.77,21,2.1
243,3,1,1,2,6.06,2781.52,25,6.63
132,2,4,10,1,8.23,497.9,33,14.14
150,4,4,30,0,7.4,489.01,3,13.97
271,3,3,4,2,6.6,435.78,16,12.96
218,4,1,23,0,7.63,2043.01,21,5.18
214,2,4,26,1,7.94,1042.63,6,7.22
178,4,1,26,2,8.87,2436.59,6,14.32
92,4,4,3,2,8.4,2206.31,16,16.39
227,4,1,23,1,6.98,2308.48,8,16.83
147,2,2,34,2,8.4,796.53,34,9.36
136,4,2,11,2,7.96,2038.61,0,17.56
222,3,3,28,3,7.65,2721.84,13,16.86
169,4,4,23,0,8.47,2411.71,1,19.43
105,2,3,30,0,7.79,887.75,8,2.06
257,3,3,30,2,8.63,539.98,14,6.72
152,2,4,7,1,9.71,1601.54,11,13.1
241,3,2,32,1,8.22,915.04,14,13.48
155,4,3,16,2,8.55,444.88,1,9.46
135,3,4,14,0,7.12,811.26,7,2.56
238,2,1,0,1,7.33,1304.51,25,17.35
255,3,4,30,1,6.49,2003.8,34,8.26
135,3,4,1,3,8.45,794.78,32,3.91
153,3,3,26,2,7.19,922.32,31,2.38
186,4,3,33,3,6.89,848.04,23,12.58
213,2,4,7,2,9.8,2310.85,22,6.02
175,2,3,0,0,7.39,897.35,29,14.67
219,2,4,19,1,7.02,677.7,6,3.7
243,4,3,31,1,7.11,2425.56,2,5.39
154,3,1,9,1,8.56,2091.2,12,8.24
247,2,2,23,0,8.05,731.21,6,8.05
243,2,3,7,1,8.28,1107.53,20,8.37
275,4,3,11,0,7.28,2666.32,19,10.49
167,4,3,17,1,9.8,883.24,1,13.51
247,3,3,17,1,7.3,2336.52,19,4.97
271,4,3,21,3,6.3,1585.03,10,5.74
267,4,1,3,2,8.4,2270.6,4,19.99
266,2,2,0,2,9.68,1155.87,8,13.04
152,2,3,9,2,6.75,1355.19,9,3.55
259,4,2,10,1,6.62,700.47,1,10.72
161,2,2,25,1,6.07,2052.67,14,6.84
260,3,4,13,0,9.57,2704.01,15,16.0
240,2,2,27,1,8.14,1262.68,8,0.98
100,4,4,7,0,9.03,1315.72,30,16.75
96,2,4,0,1,9.97,2181.07,11,5.33
206,2,1,25,3,9.16,2007.03,13,5.9
121,3,4,17,3,8.54,2247.94,5,9.21
225,3,3,7,1,7.14,776.45,27,14.89
233,3,2,22,1,6.32,2392.75,18,10.76
181,3,3,20,2,7.26,2590.56,24,8.17
233,2,1,14,3,6.14,2029.37,2,15.91
181,4,2,28,0,9.39,485.83,19,14.43
189,4,2,31,1,9.01,1768.36,9,10.0
112,2,2,32,0,8.7,1519.09,14,15.07
193,2,4,11,1,8.28,2654.43,25,15.56
103,3,2,6,3,8.49,1720.03,10,13.28
200,3,3,14,1,7.94,1519.27,2,6.06
234,4,3,7,2,6.28,1535.85,27,18.69
231,4,4,16,1,9.95,1054.81,19,14.37
101,4,2,9,0,6.76,2712.62,10,0.78
235,3,4,32,2,6.18,1982.87,29,13.85
222,2,3,11,3,8.06,2097.47,1,13.76
101,4,1,17,3,6.47,1903.43,8,16.02
86,4,3,9,3,7.51,806.65,21,4.33
206,4,2,8,0,9.33,2049.53,30,3.97
156,2,4,24,2,7.68,891.56,34,14.05
174,3,4,12,0,7.0,730.27,0,9.08
75,2,3,16,1,8.09,1464.18,25,10.94
120,4,3,30,2,6.74,1628.4,19,19.68
208,2,1,1,0,7.38,1701.51,15,8.94
202,4,4,5,3,9.83,2650.09,20,3.16
131,4,1,7,1,6.9,1238.32,30,4.67
141,3,4,6,2,9.25,2136.64,0,19.72
168,4,3,8,2,9.69,1152.01,30,1.05
141,2,4,1,1,9.98,2286.27,20,17.58
130,4,1,27,0,6.0,1933.02,17,6.13
135,3,3,22,0,6.01,1452.33,21,15.71
178,4,2,4,3,6.54,1381.86,12,9.99
186,2,3,27,0,8.4,1490.31,0,10.95
208,4,2,3,3,8.11,1751.82,6,1.34
122,2,3,6,1,9.37,2390.34,30,12.45
105,4,1,22,2,6.26,933.98,25,14.25
135,2,1,28,0,7.82,1147.16,0,6.76
233,3,1,2,0,9.16,2155.75,5,4.51
245,4,1,0,3,8.58,1342.35,29,14.14
234,3,1,24,1,7.37,1935.19,9,4.96
152,3,2,29,0,6.8,2762.16,30,13.88
267,4,1,6,0,7.65,1641.81,21,9.29
189,3,3,23,3,6.62,2451.94,24,10.5
149,3,4,22,2,6.66,450.75,21,1.15
192,2,4,1,2,9.28,1965.12,16,8.46
253,2,2,12,1,6.23,1963.16,34,4.93
161,3,4,0,3,9.38,1686.11,34,0.77
89,4,4,2,1,6.55,595.62,3,10.35
134,3,3,8,0,6.67,995.54,14,1.01
278,2,1,24,0,6.37,1832.01,22,6.37
167,2,1,20,3,7.31,482.95,5,2.47
114,3,3,0,2,8.2,1634.06,22,13.59
255,2,3,34,0,7.76,1732.12,0,2.14
148,4,3,26,2,9.52,2772.32,17,16.48
137,2,3,0,3,8.55,2732.26,13,9.24
89,4,3,31,2,7.42,1797.94,20,9.57
268,4,2,34,2,7.77,2583.68,10,16.02
245,3,4,7,0,6.88,1876.09,23,1.92
151,3,3,15,3,8.8,1766.96,19,7.89
172,3,2,16,2,8.11,1329.9,33,5.36
123,2,3,22,0,8.52,2257.76,26,9.93
272,2,3,25,3,6.12,786.45,14,16.69
262,3,2,24,3,9.5,844.62,21,16.16
100,3,1,10,3,9.57,1965.47,11,5.27
120,4,2,10,1,8.89,2188.13,17,10.86
257,4,4,20,3,6.34,603.81,8,15.62
115,4,1,8,2,7.39,2781.93,21,10.87
145,3,3,1,3,7.1,2303.96,2,14.2
239,3,4,15,3,7.69,921.75,20,3.74
119,4,1,11,2,6.41,2232.36,27,12.58
247,3,3,26,0,6.91,779.5,15,4.25
207,4,2,10,0,7.79,2275.84,11,8.39
109,3,4,34,2,9.46,1104.25,19,6.3
76,3,1,23,3,9.35,876.39,18,7.0
106,4,3,26,0,8.61,1296.35,2,12.56
180,4,3,21,0,6.09,1799.68,23,19.12
271,3,1,32,0,7.99,1809.04,10,18.52
169,4,2,23,1,9.72,1244.24,11,7.86
96,4,1,32,2,6.98,2178.12,24,4.82
80,3,3,30,3,6.14,1545.14,19,12.63
109,4,1,25,1,7.32,1453.85,21,14.83
161,2,3,32,3,7.77,2033.95,16,13.52
162,3,2,1,1,9.83,2112.47,31,9.26
134,4,2,3,1,9.95,2740.0,7,12.0
200,2,4,24,3,6.33,556.18,28,19.7
122,4,4,22,3,8.5,2709.19,8,1.95
123,4,2,3,1,7.6,919.82,28,16.49
265,4,4,11,0,8.81,693.16,29,5.5
182,2,2,22,1,9.6,1998.08,0,12.53
195,2,3,11,0,9.01,981.12,19,18.44
190,3,2,31,0,7.82,1959.84,17,17.63
102,3,1,28,0,6.15,1479.38,14,1.37
192,3,4,8,1,9.7,2734.48,7,18.33
228,2,2,18,2,9.74,2246.7,3,9.9
78,3,2,16,3,8.57,1484.7,7,1.39
147,3,2,15,0,9.54,2011.69,3,4.39
128,3,4,23,0,7.32,510.72,29,10.65
195,3,3,6,2,7.4,1654.36,12,3.2
260,3,1,14,3,9.87,2364.94,16,3.89
149,2,1,25,1,7.34,1611.43,22,17.33
83,4,3,9,2,7.82,1411.84,21,3.4
204,4,1,30,1,7.3,1015.78,4,16.82
135,3,1,1,0,6.86,1504.55,34,10.75
213,4,4,23,2,7.75,2272.22,23,3.56
99,2,3,23,3,9.01,2112.45,21,16.82
129,3,2,25,2,8.95,721.27,1,4.32
151,3,3,22,3,6.19,1185.48,29,2.04
244,4,2,3,1,7.31,1350.38,20,19.32
185,2,2,11,2,9.23,1378.23,22,8.76
199,2,1,11,0,9.33,2709.32,12,15.62
218,4,4,9,1,7.31,2343.56,22,13.27
197,2,1,16,3,9.2,1026.16,1,14.62
